ID;Estado;Asunto;Solicitado;Resuelto;Rol de usuario;Agente de soporte;Servicio relacionado;Canal;Tipo;Prioridad
71208;Cerrado;Constancia de Estudio para Visa Americana;46030,675;46041,47847;Estudiante;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
71210;Cerrado;Corregir apellido en plataforma;46031,61875;46041,48194;Estudiante FundaTEC;Carlos Calvo;Cambiar información personal;Correo;Solicitud;Normal
71213;Cerrado;Re: [Centro de Ayuda del TEC Digital] Re: Reporte de notas aprobadas;46034,41806;46041,5875;Externo;Carlos Calvo;Expediente estudiantil;Teléfono;Solicitud;Normal
71214;Cerrado;Acceso al TEC Digital;46034,57222;46041,47014;Estudiante FundaTEC;Carlos Calvo;Creación de usuarios FundaTEC;Correo;Solicitud;Normal
71215;Cerrado;Solicitud de apoyo para ingresar a TEC DIGITAL;46034,61458;46041,46597;;;;Correo;;Urgente
71216;Cerrado;Buenas tardes mi nombres es Matías Sibaja Solís, soy estudiante de nuevo ingreso y estaba intentando ingresar al Tec digital y no me deja y cambie la contraseña y tampoco me deja entonces no se com...;46034,67361;46041,46458;Estudiante;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71218;Cerrado;Cambio de correo Electronico;46035,42014;46041,48056;Estudiante FundaTEC;Carlos Calvo;Cambiar información personal;Correo;Solicitud;Normal
71221;Cerrado;Ocupo ayuda con la cuenta de outlook de mi correo ...;46035,87708;46041,4625;Estudiante;Carlos Calvo;Problemas con correos;Correo;Solicitud;Normal
71223;Cerrado;Plataforma evaluación con rúbricas está lenta y falla frecuentemente;46036,79236;46048,3875;Profesor;Carlos Calvo;Rúbricas;Correo;Solicitud;Normal
71225;Cerrado;Problemas de acceso a TEC Digital – estudiante de primer ingreso;46036,92431;46041,45764;Estudiante;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71226;Cerrado;Felipe M 2023026033 Examen problema;46037,39583;46041,62431;Estudiante;Carlos Calvo;GAAP;Correo;Solicitud;Normal
71227;Cerrado;Correo no existe;46037,5875;46041,44792;Estudiante;Carlos Calvo;Problemas con correos;Correo;Solicitud;Normal
71230;Cerrado;Problemas a la hora de ingresar a TEC digital;46038,36806;46042,31389;Estudiante;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71231;Cerrado;Solicitud apertura TEC Digital: EXCEL INTERMEDIO G1 P425;46038,40139;46041,41667;Administrativo FundaTEC;Carlos Calvo;Creación cursos FundaTEC;Correo;Solicitud;Normal
71232;Cerrado;Problemas de Acceso a Cuenta @estudiantec.cr;46038,58681;46041,47639;Estudiante;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71234;Cerrado;Certificado;46038,79375;46041,38472;Administrativo FundaTEC;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
71239;Cerrado;Ayuda para cuenta de profesor;46041,31528;46041,41944;Profesor;Carlos Calvo;Activar cuentas de usuario;Correo;Solicitud;Normal
71240;Cerrado;El tec digital tardaba encargar al seleccionar un grupo o una sección de este;46041,34097;46041,47569;Estudiante;Carlos Calvo;Evaluaciones;Correo;Solicitud;Normal
71241;Cerrado;Agregar cuentas como profesor asociado en cursos de Tec Digital - I Bimestre 2026;46041,3625;46041,37986;Profesor;Carlos Calvo;Agregar/cambiar asociación de profesor a curso;Correo;Solicitud;Normal
71242;Cerrado;RV: Error al ingresar a la página “tecDigital”;46041,38403;46041,38611;Estudiante;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71243;Cerrado;RE: Error al ingresar a la página “tecDigital”;46041,40694;46041,41736;Estudiante;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71244;Cerrado;Fwd: Solicitud de apoyo para ingresar a TEC DIGITAL;46041,45347;46041,55139;Estudiante FundaTEC;Carlos Calvo;Agregar/cambiar asociación de estudiante a curso;Correo;Solicitud;Normal
71245;Cerrado;Solicitud apertura TEC Digital: EXCEL INTERMEDIO G2 P425;46041,45556;46041,62292;Administrativo FundaTEC;Carlos Calvo;Creación cursos FundaTEC;Correo;Solicitud;Normal
71246;Cerrado;Solicitud apertura TEC Digital: POWER BI P126;46041,47014;46041,62292;Administrativo FundaTEC;Carlos Calvo;Creación cursos FundaTEC;Correo;Solicitud;Normal
71247;Cerrado;Aperturar cursos en la plataforma del TEC-Digital I T 2026;46041,48333;46042,33333;Profesor;Carlos Calvo;Creación cursos FundaTEC;Correo;Solicitud;Normal
71248;Cerrado;Buenos dias, intente entrar al ITCR y no me deja,…;46041,48542;46042,31667;Externo;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71249;Cerrado;Cambio de letra;46041,50694;46042,41111;Administrativo FundaTEC;Carlos Calvo;Solicitud de información de la plataforma;Correo;Solicitud;Normal
71250;Cerrado;Fw: TEC digital;46041,57431;46041,59167;Externo;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71251;Cerrado;Solicitud de activación de cuentas en Tec digital;46041,6125;46042,40764;Profesor FundaTEC;Carlos Calvo;Activar cuentas de usuario;Correo;Solicitud;Normal
71252;Cerrado;Restablecimiento de número telefónico para Cuenta Fundatec;46041,675;46042,55903;Estudiante FundaTEC;Carlos Calvo;Cambio de contraseña FundaTEC;Correo;Solicitud;Normal
71253;Cerrado;agregar profesor a curso;46041,69375;46041,69375;Administrativo;Carlos Calvo;Agregar/cambiar asociación de profesor a curso;Teléfono;Solicitud;Normal
71254;Cerrado;TEC DIGITAL;46041,87639;46043,32361;Estudiante FundaTEC;Carlos Calvo;Cambiar información personal;Correo;Solicitud;Normal
71256;Cerrado;Autenticador;46042,35694;46042,41111;Estudiante;Carlos Calvo;Problemas con correos;Correo;Solicitud;Normal
71257;Cerrado;cuentas cursos;46042,36181;46042,55903;Administrativo;Carlos Calvo;Creación cursos FundaTEC;Correo;Solicitud;Normal
71259;Cerrado;Citologías;46042,36875;46043,37014;Administrativo;Carlos Calvo;Envío de comunicados a comunidades;Correo;Solicitud;Normal
71260;Cerrado;Cambio de nombre;46042,38611;46042,58611;Administrativo FundaTEC;Carlos Calvo;Cambiar información personal;Correo;Solicitud;Normal
71261;Cerrado;Solicitud de Homologación de Perfil – Profesor Geovanny Sanabria Brenes;46042,60625;46042,61111;Profesor;Carlos Calvo;Asignación de permisos especiales;Correo;Solicitud;Normal
71262;Cerrado;Cambio;46042,65417;46042,68125;Administrativo FundaTEC;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
71263;Cerrado;Ingreso al TEC Digital (Creación de usuarios);46042,68958;46043,32292;Administrativo FundaTEC;Carlos Calvo;Creación de usuarios FundaTEC;Correo;Solicitud;Normal
71264;Cerrado;INGRESO BLOQUEADO AL TEC DIGITAL;46042,78403;46043,325;Estudiante;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71265;Cerrado;Consulta sobre admisión primer ingreso 2026;46042,93472;46043,32639;Estudiante;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
71267;Cerrado;RE: Consulta sobre admisión primer ingreso 2026;46043,32014;46043,32708;Estudiante;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
71268;Cerrado;agregar a cátedra;46043,40694;46043,40694;Estudiante;Carlos Calvo;Agregar/cambiar asociación de usuario a comunidad;Teléfono;Solicitud;Normal
71269;Cerrado;Solicitud de apoyo;46043,4125;46043,47708;Profesor;Carlos Calvo;Agregar/cambiar asociación de usuario a comunidad;Correo;Solicitud;Normal
71270;Cerrado;Solicitud de creación de cursos del Científico;46043,42917;46044,46319;;;;;;'-
71271;Cerrado;Re: Solicitud de creación de cursos del Científico;46043,43194;46045,68889;Director/Coordinador Colegio Científico;Carlos Calvo;Creación curso Colegio Científico;Correo;Solicitud;Normal
71272;Cerrado;problema con la cuenta de microsoft 360;46043,51181;46043,54931;Estudiante FundaTEC;Carlos Calvo;Cambio de contraseña FundaTEC;Correo;Solicitud;Normal
71273;Cerrado;no puedo entrar a mi cuenta de teams 360 y por end...;46043,51389;46043,55;Estudiante FundaTEC;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
71274;Cerrado;Trato de ingresar y no puedo;46043,60833;46043,62917;Estudiante;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71275;Cerrado;Consulta sobre disponibilidad de la plataforma mañana jueves 22 de enero;46043,61736;46045,43194;Profesor;Carlos Calvo;GAAP;Correo;Solicitud;Normal
71276;Cerrado;Acceso Catedra Cálculo y Álgebra Lineal;46043,675;46043,69236;Estudiante;Carlos Calvo;Agregar/cambiar asociación de usuario a comunidad;Correo;Solicitud;Normal
71277;Cerrado;Error en grupos asignados del Colegio Científico;46043,78194;46044,47292;Profesor;Carlos Calvo;Agregar/cambiar asociación de profesor a curso;Correo;Solicitud;Normal
71278;Cerrado;RV: Sobre usario en Tec Digital;46043,78403;46044,47847;Administrativo FundaTEC;Carlos Calvo;Cambiar información personal;Correo;Solicitud;Normal
71279;Cerrado;Solicitud de acceso a Turnitin;46043,82292;46044,47569;Profesor;Carlos Calvo;Control de plagio;Correo;Solicitud;Normal
71281;Cerrado;Aparentes inconsistencias en el Gestor de Atributos;46044,3125;46057,41944;Profesor;Carlos Calvo;Gestor de Atributos;Correo;Solicitud;Normal
71282;Cerrado;Solicitud de permisos y activación de cuenta al TEC Digital;46044,32292;46044,49792;Administrativo;Carlos Calvo;Activar cuentas de usuario;Correo;Solicitud;Normal
71284;Cerrado;Solicitud de Asistencias estudiantiles IS-2026;46044,34097;46045,37431;Administrativo;Carlos Calvo;Envío de comunicados a comunidades;Correo;Solicitud;Normal
71285;Cerrado;Cursos para el Colegio Científico;46044,375;46044,48681;Director/Coordinador Colegio Científico;Carlos Calvo;Agregar/cambiar asociación de profesor a curso;Correo;Solicitud;Normal
71286;Cerrado;Cambio de letra;46044,39722;46044,47986;Administrativo FundaTEC;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
71287;Cerrado;Re: Solicitud de acceso al TEC DIGITAL;46044,40208;46045,68958;Director/Coordinador;Carlos Calvo;Asignación de permisos especiales;Correo;Solicitud;Normal
71288;Cerrado;Cambio de profesor en curso;46044,48403;46045,44097;Director/Coordinador Colegio Científico;Carlos Calvo;Creación de usuarios FundaTEC;Correo;Solicitud;Normal
71289;Cerrado;RE: Acceso a TEC Digital;46044,67222;46044,69653;Administrativo;Carlos Calvo;Agregar/cambiar asociación de estudiante a curso;Correo;Solicitud;Normal
71290;Cerrado;agregar a comunidad;46044,68958;46044,68958;Estudiante;Carlos Calvo;Agregar/cambiar asociación de usuario a comunidad;Teléfono;Solicitud;Normal
71291;Cerrado;agregar a comunidad;46044,69028;46044,69028;Estudiante;Carlos Calvo;Agregar/cambiar asociación de usuario a comunidad;Teléfono;Solicitud;Normal
71292;Cerrado;Información de matricula segundo bimestre Maestria en Adm ing electromecánica;46044,85486;46045,33056;Externo;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
71293;Cerrado;Reactivación cuenta estudiantil;46044,86875;46045,37153;Estudiante;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
71294;Cerrado;Recuperar mi cuenta;46044,87083;46045,37292;Externo;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71296;Cerrado;Problema de inicio de sesion al tec digital;46045,38194;46045,43333;Externo;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71297;Cerrado;Ingreso al TEC Digital (Creación de usuarios);46045,42917;46045,43611;Profesor;Carlos Calvo;Creación de usuarios FundaTEC;Correo;Solicitud;Normal
71298;Cerrado;Consulta;46045,49514;46045,57986;Administrativo FundaTEC;Carlos Calvo;Creación cursos FundaTEC;Correo;Solicitud;Normal
71299;Cerrado;Ingreso al TEC Digital (Creación de usuarios);46045,59931;46045,61528;Profesor;Carlos Calvo;Agregar/cambiar asociación de estudiante a curso;Correo;Solicitud;Normal
71300;Cerrado;Aperturar cursos en la plataforma del TEC-Digital I T 2026;46045,62222;46050,43403;Administrativo FundaTEC;Carlos Calvo;Creación cursos FundaTEC;Correo;Solicitud;Normal
71301;Cerrado;Acceso a TEC-Digital;46045,62917;46049,62083;Administrativo;Carlos Calvo;Agregar/cambiar asociación de estudiante a curso;Correo;Solicitud;Normal
71302;Cerrado;cambio de correo estudiante;46045,66111;46048,40556;Administrativo;Carlos Calvo;Cambiar información personal;Correo;Solicitud;Normal
71304;Cerrado;Desbloqueo cuenta estudiantec;46046,51319;46048,32431;Externo;Carlos Calvo;Problemas con correos;Correo;Solicitud;Normal
71307;Cerrado;Solicitud de creación de grupo - Programa de Ciencia de los Datos;46047,43611;46048,34236;Administrativo;Carlos Calvo;Creación cursos FundaTEC;Correo;Solicitud;Normal
71308;Cerrado;Re: [Centro de Ayuda del TEC Digital] Re: Fwd: Solicitud de apoyo para ingresar a TEC DIGITAL;46048,00139;46048,58472;Estudiante FundaTEC;Carlos Calvo;Agregar/cambiar asociación de estudiante a curso;Correo;Solicitud;Normal
71309;Cerrado;Ayuda con quiz en GAAP;46048,32014;46048,3875;Profesor FundaTEC;Carlos Calvo;GAAP;Correo;Solicitud;Normal
71311;Cerrado;RV: Problema de registro;46048,34514;46048,36111;Administrativo;Pamela Varela;Expediente estudiantil;Correo;Solicitud;Normal
71312;Cerrado;RV: Problemas con email;46048,34653;46048,36181;Estudiante;Pamela Varela;Problemas con correos;Correo;Solicitud;Normal
71313;Cerrado;RV: Acceso a correo de estudiante;46048,34792;46048,36181;Estudiante;Pamela Varela;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71314;Cerrado;RV: CORREO ESTUDIANTEC.CR;46048,35069;46048,36181;Estudiante;Pamela Varela;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71315;Cerrado;Ingreso al TEC Digital (Creación de usuarios);46048,35139;46048,36528;Administrativo FundaTEC;Carlos Calvo;Creación cursos FundaTEC;Correo;Solicitud;Normal
71316;Cerrado;Ayuda para sincronización de cursos y consulta;46048,375;46048,40347;Profesor;Carlos Calvo;Agregar/cambiar asociación de estudiante a curso;Correo;Solicitud;Normal
71317;Cerrado;Consulta;46048,39444;46048,42222;Externo;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
71318;Cerrado;ERROR AL CARGAR ARCHIVOS;46048,39722;46048,41736;Estudiante FundaTEC;Carlos Calvo;Evaluaciones;Correo;Solicitud;Normal
71319;Cerrado;Acceso a cátedra de Cálculo y Álgebra Lineal;46048,41181;46048,41389;Estudiante;Carlos Calvo;Agregar/cambiar asociación de usuario a comunidad;Correo;Solicitud;Normal
71320;Cerrado;Problema acceso TEC Digital estudiantes Tercera Promoción Maestría Desarrollo Económico Local;46048,41736;46048,45903;Director/Coordinador;Carlos Calvo;Agregar/cambiar asociación de estudiante a curso;Correo;Solicitud;Normal
71321;Cerrado;Asignación de cursos a profesores;46048,43889;46049,40139;Profesor;Carlos Calvo;Agregar/cambiar asociación de profesor a curso;Correo;Solicitud;Normal
71322;Cerrado;RE: INGRESO DE DANIEL SOLANO MORALES - TEC DIGITAL;46048,44444;46052,40625;Estudiante;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71323;Cerrado;Incluir estudiantes en curso Principios de programación II;46048,47222;46048,55694;Estudiante;Carlos Calvo;Agregar/cambiar asociación estudiante a curso FundaTEC;Correo;Solicitud;Normal
71324;Cerrado;Consulta para matricula.;46048,49306;46048,49514;Externo;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
71325;Cerrado;Restauración de cuenta @estudiantec. Josué Zamora Arce. 120180186.;46048,55625;46048,56944;Estudiante;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
71326;Cerrado;Expediente Estudiantil;46048,60764;46048,61111;Externo;Carlos Calvo;Expediente estudiantil;Teléfono;Solicitud;Normal
71327;Cerrado;Matrícula;46048,66597;46048,67083;Estudiante;Carlos Calvo;Agregar/cambiar asociación de estudiante a curso;Correo;Solicitud;Normal
71328;Cerrado;Corrección de nombre en la plataforma;46048,86736;46049,55694;Estudiante;Carlos Calvo;Cambiar información personal;Correo;Solicitud;Normal
71329;Cerrado;solicitud;46049,32083;46049,6;Administrativo;Carlos Calvo;Creación de comunidades;Correo;Solicitud;Normal
71331;Cerrado;Soporte;46049,39375;46049,39861;Administrativo;Carlos Calvo;Agregar/cambiar asociación de profesor a curso;Correo;Solicitud;Normal
71332;Cerrado;Ingreso a correo institucional;46049,47222;46049,54861;Estudiante;Carlos Calvo;Problemas con correos;Correo;Solicitud;Normal
71333;Cerrado;Usuario TEC-Digital;46049,50833;46049,55764;Estudiante;Carlos Calvo;Activar cuentas de usuario;Correo;Solicitud;Normal
71334;Cerrado;Error al cargar archivos;46049,53611;46049,55625;Estudiante;Carlos Calvo;Evaluaciones;Correo;Solicitud;Normal
71335;Cerrado;RE: Consulta de matrícula;46049,54375;46049,56597;Estudiante;Carlos Calvo;Agregar/cambiar asociación de estudiante a curso;Correo;Solicitud;Normal
